date,value
2020-01-02,1000000.0
2020-01-03,1000000.0
2020-01-06,1011260.6403489001
2020-01-07,1021064.6403489001
2020-01-08,1007298.6403489001
2020-01-09,1023799.6403489001
2020-01-10,1015970.1331978001
2020-01-13,1013022.0428308861
2020-01-14,1010679.7571166004
2020-01-15,1005929.8999737432
2020-01-16,993639.6142594576
2020-01-17,984119.9848925432
2020-01-20,994738.5540226647
2020-01-21,992596.9997378951
2020-01-22,1000865.2434412076
2020-01-23,969575.8697772092
2020-02-03,879728.3941320092
2020-02-04,891435.3278958912
2020-02-05,930009.6410518548
2020-02-06,949022.2490979447
2020-02-07,967152.5003080448
2020-02-10,946140.9465822432
2020-02-11,865783.595631948
2020-02-12,902693.4829167821
2020-02-13,887405.1274704284
2020-02-14,862146.5277475178
2020-02-17,974557.2241945482
2020-02-18,1032409.0902112835
2020-02-19,1012633.1776961398
2020-02-20,1020039.0978169547
2020-02-21,1036425.3247769461
2020-02-24,1023138.5772568339
2020-02-25,998744.2062460645
2020-02-26,985157.0110722187
2020-02-27,1000303.9920183725
2020-02-28,926931.1776622188
2020-03-02,1030352.2392444544
2020-03-03,1120067.3501550877
2020-03-04,1191565.5147748047
2020-03-05,1490733.0133065847
2020-03-06,1418585.7678291611
2020-03-09,1269502.8076785437
2020-03-10,1229665.8093181294
2020-03-11,1285145.6706485169
2020-03-12,1085047.6536400886
2020-03-13,1015974.662036026
2020-03-16,962123.920528883
2020-03-17,925168.2391523279
2020-03-18,964509.7021224746
2020-03-19,973285.3240176798
2020-03-20,965293.3786396798
2020-03-23,923161.937868251
2020-03-24,875321.63430181
2020-03-25,885074.0229392368
2020-03-26,878221.5149811219
2020-03-27,864583.0245122223
2020-03-30,865268.1635963997
2020-03-31,843995.8672319991
2020-04-01,833081.5740814772
2020-04-02,848940.838063613
2020-04-03,873329.3832405647
2020-04-07,1093032.6404130743
2020-04-08,1165469.852708577
2020-04-09,1102424.8699810249
2020-04-10,999068.0927488076
2020-04-13,898886.6660067802
2020-04-14,1041643.4878695913
2020-04-15,1015556.08644259
2020-04-16,980519.7980876811
2020-04-17,922695.6462654
2020-04-20,947472.6682105345
2020-04-21,912633.4683613789
2020-04-22,930796.1428227847
2020-04-23,1005071.8947237236
2020-04-24,904595.8041657915
2020-04-27,844604.4872953732
2020-04-28,688847.4092407211
2020-04-29,643093.3456471511
2020-04-30,710004.555657715
2020-05-06,1037466.2788453619
2020-05-07,1005529.399513964
2020-05-08,974124.2921680153
2020-05-11,1032138.793857902
2020-05-12,983642.5678952471
2020-05-13,1073227.17080567
2020-05-14,1047411.4545446879
2020-05-15,1076267.3222129769
2020-05-18,1130216.4152184287
2020-05-19,1167840.7482270678
2020-05-20,1123584.9199415985
2020-05-21,1151910.5389055253
2020-05-22,1092264.1329878047
2020-05-25,1070385.7951818903
2020-05-26,1061940.4702569186
2020-05-27,1077542.4847892926
2020-05-28,1111231.503146872
2020-05-29,1140123.4789997644
2020-06-01,1468781.6543820503
2020-06-02,1723892.975879174
2020-06-03,1767900.8862993636
2020-06-04,1800913.0970634404
2020-06-05,1773658.9096698307
2020-06-08,1676158.6056783847
2020-06-09,1577446.7908398712
2020-06-10,1518178.681280935
2020-06-11,1576591.2325336915
2020-06-12,1487570.0696301777
2020-06-15,1585528.8485317095
2020-06-16,1722206.6743259465
2020-06-17,1767438.0468700905
2020-06-18,1982216.7379190708
2020-06-19,1959261.5296656266
2020-06-22,1843187.491722203
2020-06-23,1589740.6480821252
2020-06-24,1770143.8807867125
2020-06-29,1768703.879261939
2020-06-30,1815368.6069881546
2020-07-01,1805893.8888189513
2020-07-02,2152942.873972248
2020-07-03,3276105.6385765774
2020-07-06,6314570.983644854
2020-07-07,6191981.555165094
2020-07-08,6583208.499574094
2020-07-09,8408832.666777452
2020-07-10,7324371.116296026
2020-07-13,8435333.425780911
2020-07-14,8867576.64062291
2020-07-15,7723849.474509046
2020-07-16,6577141.75110761
