date,action,stock,shares,price,value,pnl_pct,reason
2020-01-03,BUY,SH601666,1282000,0.07799999999999979,100125.99479999972,0.0,signal
2020-01-03,BUY,SZ002662,35200,2.838,100027.46687999999,0.0,signal
2020-01-03,BUY,SZ000524,13700,7.27,99728.47869999999,0.0,signal
2020-01-03,BUY,SZ002791,3100,32.08,99577.28239999998,0.0,signal
2020-01-03,BUY,SZ000980,33200,3.01,100061.91159999999,0.0,signal
2020-01-03,BUY,SZ000931,9900,10.01,99227.82869999998,0.0,signal
2020-01-03,BUY,SZ300011,16500,6.03,99624.34349999999,0.0,signal
2020-01-03,BUY,SZ002296,12800,7.77,99585.29279999998,0.0,signal
2020-01-06,SELL,SZ000524,13700,7.21,98777.0,-0.8253094910591452,rebalance
2020-01-06,SELL,SZ002791,3100,33.849999999999994,104934.99999999999,5.517456359102235,rebalance
2020-01-06,SELL,SZ000980,33200,3.05,101260.0,1.3289036544850585,rebalance
2020-01-06,SELL,SZ000931,9900,9.790000000000001,96921.00000000001,-2.19780219780219,rebalance
2020-01-06,SELL,SZ300011,16500,6.1,100650.0,1.1608623548921893,rebalance
2020-01-06,SELL,SZ002296,12800,7.95,101760.0,2.316602316602334,rebalance
2020-01-06,BUY,SH600546,57900,1.8720000000000003,108529.70544,0.0,signal
2020-01-06,BUY,SH600096,166800,0.6500000000000004,108560.94600000004,0.0,signal
2020-01-06,BUY,SH601952,18800,5.750000000000001,108240.53,0.0,signal
2020-01-06,BUY,SH600223,12900,8.393,108410.45061,0.0,signal
2020-01-06,BUY,SH601567,23600,4.580000000000001,108228.51440000001,0.0,signal
2020-01-06,BUY,SH688300,6100,17.505714489167396,106923.6786998202,0.0,signal
2020-01-07,SELL,SZ002662,35200,2.5980000000000003,91449.6,-8.456659619450313,rebalance
2020-01-07,SELL,SH600223,12900,9.683,124910.7,15.369951149767648,rebalance
2020-01-07,SELL,SH601567,23600,4.82,113752.0,5.240174672489073,rebalance
2020-01-07,SELL,SH688300,6100,17.24936357324694,105221.11779680633,-1.4643841933963175,rebalance
2020-01-07,BUY,SH601225,156700,0.8290000000000013,130073.17559000019,0.0,signal
2020-01-07,BUY,SZ002163,21500,6.03,129813.53849999998,0.0,signal
2020-01-07,BUY,SZ002540,41500,3.1244005999999995,129831.18631236996,0.0,signal
2020-01-07,BUY,SZ300807,2100,59.3,124691.88899999998,0.0,signal
2020-01-08,SELL,SH601952,18800,5.470000000000001,102836.00000000001,-4.869565217391303,rebalance
2020-01-08,SELL,SZ002163,21500,6.18,132870.0,2.487562189054726,rebalance
2020-01-08,SELL,SZ002540,41500,3.3144006,137547.6249,6.081166416368,rebalance
2020-01-08,SELL,SZ300807,2100,64.61999999999999,135701.99999999997,8.971332209106219,rebalance
2020-01-08,BUY,SZ002041,9700,12.914,125428.64553999998,0.0,signal
2020-01-08,BUY,SH688039,1500,82.03514285714286,123212.6828142857,0.0,signal
2020-01-08,BUY,SZ002972,6900,18.10714285714286,125101.7067857143,0.0,signal
2020-01-08,BUY,SH688023,1000,125.17846153846156,125341.19353846155,0.0,signal
2020-01-08,BUY,SH600373,5700,14.95,85325.77949999999,0.0,signal
2020-01-09,SELL,SH600096,166800,0.6299999999999999,105083.99999999999,-3.0769230769231437,rebalance
